X,Y,Z,IN_frac,MK_frac,INC_frac
4.72,3.14,23.274094,0.880689696,0,0.119310304
5.9,3.14,23.274094,0.880689696,0,0.119310304
7.08,3.14,23.274094,0.880689696,0,0.119310304
8.26,3.14,23.274094,0.880689696,0,0.119310304
9.44,3.14,23.274094,0.880689696,0,0.119310304
10.62,3.14,23.274094,0.880689696,0,0.119310304
0,4.32,23.274094,0.838752091,0,0.161247909
1.18,4.32,23.274094,0.838752091,0,0.161247909
2.36,4.32,23.274094,0.838752091,0,0.161247909
3.54,4.32,23.274094,0.838752091,0,0.161247909
4.72,4.32,23.274094,0.838752091,0,0.161247909
5.9,4.32,23.274094,0.838752091,0,0.161247909
7.08,4.32,23.274094,0.838752091,0,0.161247909
8.26,4.32,23.274094,0.838752091,0,0.161247909
9.44,4.32,23.274094,0.838752091,0,0.161247909
10.62,4.32,23.274094,0.838752091,0,0.161247909
0,5.5,23.274094,0.796814487,0,0.203185513
1.18,5.5,23.274094,0.796814487,0,0.203185513
2.36,5.5,23.274094,0.796814487,0,0.203185513
3.54,5.5,23.274094,0.796814487,0,0.203185513
4.72,5.5,23.274094,0.796814487,0,0.203185513
5.9,5.5,23.274094,0.796814487,0,0.203185513
7.08,5.5,23.274094,0.796814487,0,0.203185513
8.26,5.5,23.274094,0.796814487,0,0.203185513
9.44,5.5,23.274094,0.796814487,0,0.203185513
10.62,5.5,23.274094,0.796814487,0,0.203185513
0,6.68,23.274094,0.712939278,0,0.287060722
1.18,6.68,23.274094,0.712939278,0,0.287060722
2.36,6.68,23.274094,0.712939278,0,0.287060722
3.54,6.68,23.274094,0.712939278,0,0.287060722
4.72,6.68,23.274094,0.712939278,0,0.287060722
5.9,6.68,23.274094,0.712939278,0,0.287060722
7.08,6.68,23.274094,0.712939278,0,0.287060722
8.26,6.68,23.274094,0.712939278,0,0.287060722
9.44,6.68,23.274094,0.712939278,0,0.287060722
10.62,6.68,23.274094,0.712939278,0,0.287060722
0,7.86,23.274094,0.671001673,0,0.328998327
1.18,7.86,23.274094,0.671001673,0,0.328998327
2.36,7.86,23.274094,0.671001673,0,0.328998327
3.54,7.86,23.274094,0.671001673,0,0.328998327
4.72,7.86,23.274094,0.671001673,0,0.328998327
5.9,7.86,23.274094,0.671001673,0,0.328998327
7.08,7.86,23.274094,0.671001673,0,0.328998327
8.26,7.86,23.274094,0.671001673,0,0.328998327
9.44,7.86,23.274094,0.671001673,0,0.328998327
10.62,7.86,23.274094,0.671001673,0,0.328998327
0,9.04,23.274094,0.629064068,0,0.370935932
1.18,9.04,23.274094,0.629064068,0,0.370935932
2.36,9.04,23.274094,0.629064068,0,0.370935932
3.54,9.04,23.274094,0.629064068,0,0.370935932
4.72,9.04,23.274094,0.629064068,0,0.370935932
5.9,9.04,23.274094,0.629064068,0,0.370935932
7.08,9.04,23.274094,0.629064068,0,0.370935932
8.26,9.04,23.274094,0.629064068,0,0.370935932
9.44,9.04,23.274094,0.629064068,0,0.370935932
10.62,9.04,23.274094,0.629064068,0,0.370935932
0,10.22,23.274094,0.587126464,0,0.412873536
1.18,10.22,23.274094,0.587126464,0,0.412873536
2.36,10.22,23.274094,0.587126464,0,0.412873536
3.54,10.22,23.274094,0.587126464,0,0.412873536
4.72,10.22,23.274094,0.587126464,0,0.412873536
5.9,10.22,23.274094,0.587126464,0,0.412873536
7.08,10.22,23.274094,0.587126464,0,0.412873536
8.26,10.22,23.274094,0.587126464,0,0.412873536
9.44,10.22,23.274094,0.587126464,0,0.412873536
10.62,10.22,23.274094,0.587126464,0,0.412873536
0,11.4,23.274094,0.545188859,0,0.454811141
1.18,11.4,23.274094,0.545188859,0,0.454811141
2.36,11.4,23.274094,0.545188859,0,0.454811141
3.54,11.4,23.274094,0.545188859,0,0.454811141
4.72,11.4,23.274094,0.545188859,0,0.454811141
5.9,11.4,23.274094,0.545188859,0,0.454811141
7.08,11.4,23.274094,0.545188859,0,0.454811141
8.26,11.4,23.274094,0.545188859,0,0.454811141
9.44,11.4,23.274094,0.545188859,0,0.454811141
10.62,11.4,23.274094,0.545188859,0,0.454811141
0,12.58,23.274094,0.46131365,0,0.53868635
1.18,12.58,23.274094,0.46131365,0,0.53868635
2.36,12.58,23.274094,0.46131365,0,0.53868635
3.54,12.58,23.274094,0.46131365,0,0.53868635
4.72,12.58,23.274094,0.46131365,0,0.53868635
5.9,12.58,23.274094,0.46131365,0,0.53868635
7.08,12.58,23.274094,0.46131365,0,0.53868635
8.26,12.58,23.274094,0.46131365,0,0.53868635
9.44,12.58,23.274094,0.46131365,0,0.53868635
10.62,12.58,23.274094,0.46131365,0,0.53868635
0,13.76,23.274094,0.419376046,0,0.580623954
1.18,13.76,23.274094,0.419376046,0,0.580623954
2.36,13.76,23.274094,0.419376046,0,0.580623954
3.54,13.76,23.274094,0.419376046,0,0.580623954
4.72,13.76,23.274094,0.419376046,0,0.580623954
5.9,13.76,23.274094,0.419376046,0,0.580623954
7.08,13.76,23.274094,0.419376046,0,0.580623954
8.26,13.76,23.274094,0.419376046,0,0.580623954
9.44,13.76,23.274094,0.419376046,0,0.580623954
10.62,13.76,23.274094,0.419376046,0,0.580623954
0,14.94,23.274094,0.377438441,0,0.622561559
1.18,14.94,23.274094,0.377438441,0,0.622561559
2.36,14.94,23.274094,0.377438441,0,0.622561559
3.54,14.94,23.274094,0.377438441,0,0.622561559
4.72,14.94,23.274094,0.377438441,0,0.622561559
5.9,14.94,23.274094,0.377438441,0,0.622561559
7.08,14.94,23.274094,0.377438441,0,0.622561559
8.26,14.94,23.274094,0.377438441,0,0.622561559
9.44,14.94,23.274094,0.377438441,0,0.622561559
10.62,14.94,23.274094,0.377438441,0,0.622561559
0,16.12,23.274094,0.335500836,0,0.664499164
1.18,16.12,23.274094,0.335500836,0,0.664499164
2.36,16.12,23.274094,0.335500836,0,0.664499164
3.54,16.12,23.274094,0.335500836,0,0.664499164
4.72,16.12,23.274094,0.335500836,0,0.664499164
5.9,16.12,23.274094,0.335500836,0,0.664499164
7.08,16.12,23.274094,0.335500836,0,0.664499164
8.26,16.12,23.274094,0.335500836,0,0.664499164
9.44,16.12,23.274094,0.335500836,0,0.664499164
10.62,16.12,23.274094,0.335500836,0,0.664499164
0,17.3,23.274094,0.293563232,0,0.706436768
1.18,17.3,23.274094,0.293563232,0,0.706436768
2.36,17.3,23.274094,0.293563232,0,0.706436768
3.54,17.3,23.274094,0.293563232,0,0.706436768
4.72,17.3,23.274094,0.293563232,0,0.706436768
5.9,17.3,23.274094,0.293563232,0,0.706436768
7.08,17.3,23.274094,0.293563232,0,0.706436768
8.26,17.3,23.274094,0.293563232,0,0.706436768
9.44,17.3,23.274094,0.293563232,0,0.706436768
10.62,17.3,23.274094,0.293563232,0,0.706436768
0,18.48,23.274094,0.251625627,0,0.748374373
1.18,18.48,23.274094,0.251625627,0,0.748374373
2.36,18.48,23.274094,0.251625627,0,0.748374373
3.54,18.48,23.274094,0.251625627,0,0.748374373
4.72,18.48,23.274094,0.251625627,0,0.748374373
5.9,18.48,23.274094,0.251625627,0,0.748374373
7.08,18.48,23.274094,0.251625627,0,0.748374373
8.26,18.48,23.274094,0.251625627,0,0.748374373
9.44,18.48,23.274094,0.251625627,0,0.748374373
10.62,18.48,23.274094,0.251625627,0,0.748374373
0,19.66,23.274094,0.167750418,0,0.832249582
1.18,19.66,23.274094,0.167750418,0,0.832249582
2.36,19.66,23.274094,0.167750418,0,0.832249582
3.54,19.66,23.274094,0.167750418,0,0.832249582
4.72,19.66,23.274094,0.167750418,0,0.832249582
5.9,19.66,23.274094,0.167750418,0,0.832249582
7.08,19.66,23.274094,0.167750418,0,0.832249582
8.26,19.66,23.274094,0.167750418,0,0.832249582
9.44,19.66,23.274094,0.167750418,0,0.832249582
10.62,19.66,23.274094,0.167750418,0,0.832249582
0,20.84,23.274094,0.125812814,0,0.874187186
1.18,20.84,23.274094,0.125812814,0,0.874187186
2.36,20.84,23.274094,0.125812814,0,0.874187186
3.54,20.84,23.274094,0.125812814,0,0.874187186
4.72,20.84,23.274094,0.125812814,0,0.874187186
5.9,20.84,23.274094,0.125812814,0,0.874187186
7.08,20.84,23.274094,0.125812814,0,0.874187186
8.26,20.84,23.274094,0.125812814,0,0.874187186
9.44,20.84,23.274094,0.125812814,0,0.874187186
10.62,20.84,23.274094,0.125812814,0,0.874187186
0,22.02,23.274094,0.083875209,0,0.916124791
1.18,22.02,23.274094,0.083875209,0,0.916124791
2.36,22.02,23.274094,0.083875209,0,0.916124791
3.54,22.02,23.274094,0.083875209,0,0.916124791
4.72,22.02,23.274094,0.083875209,0,0.916124791
5.9,22.02,23.274094,0.083875209,0,0.916124791
7.08,22.02,23.274094,0.083875209,0,0.916124791
8.26,22.02,23.274094,0.083875209,0,0.916124791
9.44,22.02,23.274094,0.083875209,0,0.916124791
10.62,22.02,23.274094,0.083875209,0,0.916124791
0,23.2,23.274094,0.041937605,0,0.958062395
1.18,23.2,23.274094,0.041937605,0,0.958062395
2.36,23.2,23.274094,0.041937605,0,0.958062395
3.54,23.2,23.274094,0.041937605,0,0.958062395
4.72,23.2,23.274094,0.041937605,0,0.958062395
5.9,23.2,23.274094,0.041937605,0,0.958062395
7.08,23.2,23.274094,0.041937605,0,0.958062395
8.26,23.2,23.274094,0.041937605,0,0.958062395
9.44,23.2,23.274094,0.041937605,0,0.958062395
10.62,23.2,23.274094,0.041937605,0,0.958062395
0,24.38,23.274094,0,0,1
1.18,24.38,23.274094,0,0,1
2.36,24.38,23.274094,0,0,1
3.54,24.38,23.274094,0,0,1
4.72,24.38,23.274094,0,0,1
5.9,24.38,23.274094,0,0,1
7.08,24.38,23.274094,0,0,1
8.26,24.38,23.274094,0,0,1
9.44,24.38,23.274094,0,0,1
10.62,24.38,23.274094,0,0,1
0,-24,23.894094,0,0,1
1.18,-24,23.894094,0,0,1
2.36,-24,23.894094,0,0,1
3.54,-24,23.894094,0,0,1
4.72,-24,23.894094,0,0,1
5.9,-24,23.894094,0,0,1
7.08,-24,23.894094,0,0,1
8.26,-24,23.894094,0,0,1
9.44,-24,23.894094,0,0,1
10.62,-24,23.894094,0,0,1
0,-22.82,23.894094,0.041798508,0,0.958201492
1.18,-22.82,23.894094,0.041798508,0,0.958201492
2.36,-22.82,23.894094,0.041798508,0,0.958201492
3.54,-22.82,23.894094,0.041798508,0,0.958201492
4.72,-22.82,23.894094,0.041798508,0,0.958201492
5.9,-22.82,23.894094,0.041798508,0,0.958201492
7.08,-22.82,23.894094,0.041798508,0,0.958201492
8.26,-22.82,23.894094,0.041798508,0,0.958201492
9.44,-22.82,23.894094,0.041798508,0,0.958201492
10.62,-22.82,23.894094,0.041798508,0,0.958201492
0,-21.64,23.894094,0.083597015,0,0.916402985
1.18,-21.64,23.894094,0.083597015,0,0.916402985
2.36,-21.64,23.894094,0.083597015,0,0.916402985
3.54,-21.64,23.894094,0.083597015,0,0.916402985
4.72,-21.64,23.894094,0.083597015,0,0.916402985
5.9,-21.64,23.894094,0.083597015,0,0.916402985
7.08,-21.64,23.894094,0.083597015,0,0.916402985
8.26,-21.64,23.894094,0.083597015,0,0.916402985
