X,Y,Z
9.44,-15.74,23.274094
10.62,-15.74,23.274094
0,-14.56,23.274094
1.18,-14.56,23.274094
2.36,-14.56,23.274094
3.54,-14.56,23.274094
4.72,-14.56,23.274094
5.9,-14.56,23.274094
7.08,-14.56,23.274094
8.26,-14.56,23.274094
9.44,-14.56,23.274094
10.62,-14.56,23.274094
0,-13.38,23.274094
1.18,-13.38,23.274094
2.36,-13.38,23.274094
3.54,-13.38,23.274094
4.72,-13.38,23.274094
5.9,-13.38,23.274094
7.08,-13.38,23.274094
8.26,-13.38,23.274094
9.44,-13.38,23.274094
10.62,-13.38,23.274094
0,-12.2,23.274094
1.18,-12.2,23.274094
2.36,-12.2,23.274094
3.54,-12.2,23.274094
4.72,-12.2,23.274094
5.9,-12.2,23.274094
7.08,-12.2,23.274094
8.26,-12.2,23.274094
9.44,-12.2,23.274094
10.62,-12.2,23.274094
0,-11.02,23.274094
1.18,-11.02,23.274094
2.36,-11.02,23.274094
3.54,-11.02,23.274094
4.72,-11.02,23.274094
5.9,-11.02,23.274094
7.08,-11.02,23.274094
8.26,-11.02,23.274094
9.44,-11.02,23.274094
10.62,-11.02,23.274094
0,-9.84,23.274094
1.18,-9.84,23.274094
2.36,-9.84,23.274094
3.54,-9.84,23.274094
4.72,-9.84,23.274094
5.9,-9.84,23.274094
7.08,-9.84,23.274094
8.26,-9.84,23.274094
9.44,-9.84,23.274094
10.62,-9.84,23.274094
0,-8.66,23.274094
1.18,-8.66,23.274094
2.36,-8.66,23.274094
3.54,-8.66,23.274094
4.72,-8.66,23.274094
5.9,-8.66,23.274094
7.08,-8.66,23.274094
8.26,-8.66,23.274094
9.44,-8.66,23.274094
10.62,-8.66,23.274094
0,-7.48,23.274094
1.18,-7.48,23.274094
2.36,-7.48,23.274094
3.54,-7.48,23.274094
4.72,-7.48,23.274094
5.9,-7.48,23.274094
7.08,-7.48,23.274094
8.26,-7.48,23.274094
9.44,-7.48,23.274094
10.62,-7.48,23.274094
0,-6.3,23.274094
1.18,-6.3,23.274094
2.36,-6.3,23.274094
3.54,-6.3,23.274094
4.72,-6.3,23.274094
5.9,-6.3,23.274094
7.08,-6.3,23.274094
8.26,-6.3,23.274094
9.44,-6.3,23.274094
10.62,-6.3,23.274094
0,-5.12,23.274094
1.18,-5.12,23.274094
2.36,-5.12,23.274094
3.54,-5.12,23.274094
4.72,-5.12,23.274094
5.9,-5.12,23.274094
7.08,-5.12,23.274094
8.26,-5.12,23.274094
9.44,-5.12,23.274094
10.62,-5.12,23.274094
0,-3.94,23.274094
1.18,-3.94,23.274094
2.36,-3.94,23.274094
3.54,-3.94,23.274094
4.72,-3.94,23.274094
5.9,-3.94,23.274094
7.08,-3.94,23.274094
8.26,-3.94,23.274094
9.44,-3.94,23.274094
10.62,-3.94,23.274094
0,-2.76,23.274094
1.18,-2.76,23.274094
2.36,-2.76,23.274094
3.54,-2.76,23.274094
4.72,-2.76,23.274094
5.9,-2.76,23.274094
7.08,-2.76,23.274094
8.26,-2.76,23.274094
9.44,-2.76,23.274094
10.62,-2.76,23.274094
0,-1.58,23.274094
1.18,-1.58,23.274094
2.36,-1.58,23.274094
3.54,-1.58,23.274094
4.72,-1.58,23.274094
5.9,-1.58,23.274094
7.08,-1.58,23.274094
8.26,-1.58,23.274094
9.44,-1.58,23.274094
10.62,-1.58,23.274094
0,-0.400000000000002,23.274094
1.18,-0.400000000000002,23.274094
2.36,-0.400000000000002,23.274094
3.54,-0.400000000000002,23.274094
4.72,-0.400000000000002,23.274094
5.9,-0.400000000000002,23.274094
7.08,-0.400000000000002,23.274094
8.26,-0.400000000000002,23.274094
9.44,-0.400000000000002,23.274094
10.62,-0.400000000000002,23.274094
0,0.779999999999998,23.274094
1.18,0.779999999999998,23.274094
2.36,0.779999999999998,23.274094
3.54,0.779999999999998,23.274094
4.72,0.779999999999998,23.274094
5.9,0.779999999999998,23.274094
7.08,0.779999999999998,23.274094
8.26,0.779999999999998,23.274094
9.44,0.779999999999998,23.274094
10.62,0.779999999999998,23.274094
0,1.96,23.274094
1.18,1.96,23.274094
2.36,1.96,23.274094
3.54,1.96,23.274094
4.72,1.96,23.274094
5.9,1.96,23.274094
7.08,1.96,23.274094
8.26,1.96,23.274094
